question,answer,id,context_id
تصاویر و اسناد و سایر پرونده‌ها می‌تواند چگونه ارسال شود؟,به صورت پیوست نامه الکترونیک,1619606,111
مساحت اصلی ژاپن را کدام جزایر تشکیل داده‌است؟,۹۸٪ مساحت ژاپن از چهار جزیره به نام‌های هوکایدو، هونشو، شیکوکو و کیوشو تشکیل شده‌است.,1622388,113
 به نمایشی که به شکل جدی و مصیبت بار آغاز می‌شود اما شادمانه و با پایان خوش به اتمام می‌رسد؛ چه می گویند؟,تراژدی‌کمدی,1647478,129
این بیم وجود داشت که با خروج نیروهای بریتانیایی، تهران هدف حمله‌ی چه کسانی واقع شود؟,بلشویک‌ها و نیروهای تحت حمایت آن‌ها,1637484,123
ماهواره‌ها نیروی خود را از چه طریقی می‌گیرند؟,سلول‌های خورشیدی,1632916,120
قاره اروپا بعد از کدام قاره، دومین قاره کوچک جهان است؟,قاره اقیانوسیه,1605116,103
موسیقی هیپ هاپ در چه زمانی در کره جنوبی محبوبیت یافت؟,در اواسط دهه نود قرن بیستم,1617361,110
پیروزی رونالد ریگان در ابتدای دهه ۱۹۸۰، پیروزی کدام جناح حزب جمهوری‌خواه بود؟,جناح راست,1635989,122
گوگل داکیومنت چیست؟,,1612730,107
کدام دریا بزرگ‌ترین دریاچه جهان است؟,دریای خزر,1628878,117
در چه سالی مسابقات جام جهانی برای اولین بار از طریق تلویزیون پخش شدند؟,۱۹۵۴,1606689,104
ژاپنی‌ها چگونه در ساخت کاغذ از گیاهان استفاده می‌کنند؟,,1622508,113
چه کسانی نشان دادند که نسبت حجمی هیدروژن نسبت به اکسیژن در آب ۲ به ۱ است؟,ژوزف لویی گیلوساک و الکساندر فون هومبولت,1624574,114
مخالفان رضاشاه او را مسئول برباد رفتن چه چیزی در ایران می‌دانند؟,مشروطیت,1637164,123
سلطان درجهٔ نظامی برابر با چیست؟,سرهنگ,1637291,123
کلیسای کاتولیک به چند آیین اصلی کلیسا باور دارد؟,هفت,1630217,118
سؤال همیشگی والدینی که علاقمند هستند فرزندانشان شنا یاد بگیرند چیست؟,چه موقع باید آموزش شنا را شروع کرد,1645688,128
چه کسی شنای پروانه را ابداع کرد؟,,1627663,116
پیش از وقوع مهاجرت گسترده در جریان قرن بیستم و پس از آن، جمعیت خوزستان غالباً از چند گروه زبانی تشکیل می‌شد؟,دو گروه زبانی,1614183,108
رضاشاه پهلوی در چه سال‌هایی پادشاه ایران بود؟,از ۱۳۰۴ تا ۱۳۲۰ خورشیدی,1637104,123
ناصرالدین شاه در چه سالی از دنیا رفت؟,,1604009,102
نوار سیلیسیمی چیست؟,,1624866,114
فرهنگ بودایی در کدام قرن به رشد و شکوفایی رسید؟,قرن هشتم,1622780,113
دیگر چهرهٔ شاخص کودتا اسفند 1299 که بود؟,سید ضیاءالدین طباطبایی,1637549,123
 در چه سالی برای اولین بار مسابقات جام جهانی دارای مرحله گروهی شدند؟,۱۹۳۴,1606631,104
چه کشورهایی از قاره اروپا یک بار میزبان مسابقات جام جهانی بوده‌اند؟,سوئیس ، سوئد ، انگلستان ،اسپانیا ، آلمان ،روسیه و آلمان غربی,1606460,104
در بازه 1996 تا 2006 چند نفر از گیلان مهاجرت کردند؟,۱۷۷٬۷۰۷ نفر,1609910,106
به چه دلیل رشته بدن‌سازی در سال ۲۰۱۰ از برنامه رقابت‌های بازی‌های آسیایی کنار گذاشته شد؟,به دنبال انتقاد از نحوه و کیفیت داوری در رقابت‌های رشتهٔ بدن‌سازی در بازی‌های سال ۲۰۰۶,1648645,130
ساسانیان با چه کسانی دشمنی داشتند؟,اشکانیان,1642078,126
در چه روزهایی گیلان گردشگران زیادی را به سوی خود جلب می‌کند؟,روزهای تعطیل و غیرتعطیل,1610372,106
مرحله ی توسعه و بلوغ برای یک قطعه نرم افزار را شرح دهید.,,1644243,127
گروه ویژه مهندسی اینترنت چه گروهی است؟,سازمانی بین‌المللی و غیرانتفاعی است و هر فردی می‌تواند در وظایفشان با آن مشارکت کند,1618993,111
کلیه روستاهای دهستان رودبار در چه منطقه‌ای قرار گرفته؟,منطقه‌ای کاملاً کوهستانی,1626606,115
صدا و سیمای مرکز گیلان در چه سالی فعالیت خود را شروع کرد؟,۱۳۳۴,1610537,106
یک نرم‌افزار پیام‌رسان نام ببرید؟,,1619390,111
چند عضو شورای المپیک آسیا در بازی‌های آسیایی ۲۰۱۰ حضور پیدا کردند؟,۴۵ عضو,1648697,130
در کدام کشور برای اولین بار مسابقات جام جهانی  دارای مرحله گروهی شدند؟,ایتالیا,1606632,104
مردم شهرستان اندیمشک و شوش به چه زبانی صحبت می‌کنند؟,زبان لری بالاگریوه ای,1614239,108
نام پسر یزدگرد اول چه بود؟,نرسی,1642526,126
در سال 1381 شمسی، در مکاتبات انگلیسی، نام دریای شمال ایران چه چیزی اعلام شد؟,کاسپین,1628936,117
شعار رونالد ریگان در انتخابات سال 1980 چه بود؟,کاهش مالیات‌ها، کاهش هزینه‌های دولت، تقویت بودجه نظامی و کاهش دخالت‌های دولت در امر بخش خصوصی,1635991,122
چه چیزی در صفحات وب پربیننده می‌تواند سود زیادی دربرداشته باشد؟,تبلیغ برخط,1619549,111
 تغییر سرخ و تغییر آبی در چه مقیاسی اتفاق می افتد؟,در مقیاس بسیار کمی,1640567,125
تفرش با چه جاذبه‌هایی همه ساله پذیرای انبوه مسافران از اقصی نقاط ایران می‌باشد؟,جاذبه‌های طبیعی و تاریخی و امامزاده‌های متعدد,1626434,115
حزب لیبرال کانادا را توضیح دهید.,,1639353,124
شاپور پیروزی خودش را چگونه جشن گرفت؟,شاپور پیروزی خود را با کنده‌کاری کردن یک نقش برجسته شکوهمند در نقش رستم و بیشاپور,1642018,126
چه کسی در نشریهٔ خود دربارهٔ کشف حجاب و آزادی زنان نوشت و به دلیل شکایت ناظر شریعت زندان محکوم شد؟,ابراهیم خواجه‌نوری,1637896,123
هدف بنیانگذاران گوگل از انتخاب واژه‌ی گوگول چه بود؟,نشان دادن این موضوع بود که موتور جستجوی مورد نظر آنها قرار است که جستجو را در انبوهی از اطلاعات به انجام رساند,1611768,107
چه چیزی در ریه‌ها به جابجایی کربن مونوکسید از گروه هموگلوبین کمک می‌کند؟,افزایش غلظت اکسیژن,1625207,114
مزار کاشف السلطنه چند سال قدمت دارد؟,,1610431,106
"کدام دانشنامه در مدخل ""دید عوام نسبت به هویت گیلانی"" می‌نویسد؟",دانشنامه ایرانیکا,1610484,106
ابن مجاهد در چه قرنی می‌زیست؟,چهارم هجری,1601450,100
در سال 2012 جمهوری آذربایجان روزانه چند هزار بشکه نفت از دریای خزر استخراج می‌کرد؟,۸۹۰,1629156,117
چه کسی جانشین خوبی برای برادر خود نبود؟,اردشیر دوم,1642469,126
مواد اولیه ی ایلیاد و ادیسه ی هومر از کدام تمدن گرفته شده است؟ ,تمدن باستانی اژه‌ای,1647027,129
در چه سالی قباد اول گریخت؟,۴۹۸,1642803,126
آبشار نیاگارا در کدام کشور می باشد؟,کانادا,1639239,124
برنامه‌نویس‌ها در بخش‌های سازمان فناوری اطلاعات چه شرکت‌هایی کار می‌کنند؟,شرکت‌های نرم‌افزاری بزرگ، شرکت‌های خدمت‌رسانی کوچک و نهادهای دولتی,1634179,121
