question,answer,model_answer,id,context_id
قسمت‌هایی از موسیقی سنتی کره را نام ببرید؟,پانسوری یا نانگک (موسیقی کشاورزان),<ANSWER>موسیقی درباری و موسیقی محلی</ANSWER>,1617420,110
مسعود خان کیست؟,,<ANSWER>سیاستمدار پاکستانی</ANSWER>,1637551,123
رپ تور نیویورک توسط چه کسی حمایت می‌شد؟,اروپا,<ANSWER>مایکروسافت</ANSWER>,1617652,110
بزرگ‌ترین شاخه از کلیسای مسیحی کدام است؟,کلیسای کاتولیک,<ANSWER>کلیسای کاتولیک</ANSWER>,1630211,118
کریم خان زند به کدام شرکت در بوشهر پروانه زدن تجارتخانه  داد؟,شرکت انگلیسی هند شرقی,<ANSWER>شرکت هلند</ANSWER>,1602837,101
مهم‌ترین احزاب سیاسی فعال ژاپن کدام احزاب می‌باشد؟,حزب لیبرال دموکرات، حزب دموکراتیک ژاپن، حزب کومه جدید، حزب کمونیست ژاپن، حزب سوسیال دموکرات,<ANSWER>حزب لیبرال دموکرات و حزب دموکراتیک قانون اساسی</ANSWER>,1623066,113
بارنه‌یود در چه سالی جسد خود را به مدرسه فروخت تا با مرگ وی شاگردان به تشریح بدن او بپردازند؟,,۱۷۷۵,1604064,102
کلیسای کاتولیک چند میلیارد نفر پیرو دارد؟,یک و نیم میلیارد نفر,<ANSWER>۱٫۲ میلیارد</ANSWER>,1630210,118
ساسانیان چه نوع حکومتی داشتند؟,,<ANSWER>سلطنت مطلق</ANSWER>,1642915,126
قسمت اعظم رپ در چه غالبی موجود است؟,نوشته‌های رسا,<ANSWER>فایل‌های صوتی</ANSWER>,1617308,110
اولین کلیسای کاتولیک در کجا ساخته شد؟,,<ANSWER>انطاکیه</ANSWER>,1630214,118
باب دیلن در چه سالی رپ انجام می‌داد؟,سال ۱۹۶۰,<ANSWER>سال ۲۰۰۱</ANSWER>,1617306,110
استاروسلسکی افسر کدام کشور بود؟,روس,<ANSWER>روسیه</ANSWER>,1637424,123
شاخص امید به زندگی در مردان و زنان در ژاپن چقدر می‌باشد؟,شاخص امید به زندگی در مردان ۷۲/۶۴ و در زنان ۸۶/۳۹ می‌باشد.,<ANSWER>۷۰ سال برای مردان و ۷۸ سال برای زنان</ANSWER>,1622563,113
در چه سالی گوگل سیاست استراحت ابتکاری را به وجود آورد؟,,<ANSWER>۲۰۰۴</ANSWER>,1611942,107
شاهنشاهی ساسانی چند سال بر ایران حکومت کردند؟,۴۲۷ سال,<ANSWER>۴۲۷ سال</ANSWER>,1641782,126
شورای المپیک آسیا در سال ۲۰۱۰ با ورود چه رشته‌ای به بازی‌ها موافقت کرد؟,رشتهٔ کریکت (بیست۲۰),<ANSWER>کریکت</ANSWER>,1648643,130
ایستگاه‌های رادیویی هیپ هاپ تا چه سالی پا به عرصه وجود گذاشتند؟,تا سال ۱۹۸۲,<ANSWER>سال ۱۹۸۴</ANSWER>,1617651,110
نام قرائت‌های مختلف قرآنی چیست؟,,<ANSWER>قرائت سبعه</ANSWER>,1601396,100
چرا آتش‌سوزی که باعث کشته شدن خدمه آپولو ۱ در آزمایش سکوی پرتاب شد، خیلی سریع گسترش یافت؟,زیرا کپسول حاوی اکسیژن تحت فشاری در حدود ۱ اتمسفر بود,<ANSWER>به دلیل جو ۱۰۰٪ اکسیژن و مواد قابل اشتعال فراوان در داخل فضاپیما</ANSWER>,1625378,114
استان خوزستان در کجا واقع است؟,جنوب‌غربی ایران,<ANSWER>جنوب غربی ایران</ANSWER>,1613781,108
 لئونارد کلینراک چه کسی بود؟,استاد دانشگاه کالیفرنیا,<ANSWER>دانشمند کامپیوتر</ANSWER>,1619110,111
انگلیسی‌ها در تجارت با کریم خان زند چه دادو ستدی داشتند؟,انگلیسی‌ها پارچه‌های پشمی به ایران می‌آوردند و در برابر کریم خان ایشان را از حق گمرک معاف نمود,<ANSWER>پارچه پشمی و ابریشم</ANSWER>,1602838,101
چرا برادر فرج‌الله بهرامی به مدرس سیلی‌ زد؟,,<ANSWER>چون پس از مسموم کردن، مدرس هنوز زنده بود</ANSWER>,1637724,123
وحی چیست؟,,<ANSWER>به معنای کلام خدا برای بشر از طریق پیامبران</ANSWER>,1601011,100
مخالفان رضاشاه معتقدند پهلوی یکم چه چیزهایی را در ایران نابود کرد؟,دموکراسی، مجلس، انتخابات و آزادی,Error: list index out of range,1637165,123
چند درصد مردم چین به مسیحیت روی آوردند؟,,<ANSWER>کمتر از ۱ درصد</ANSWER>,1623179,113
در حال حاضر مرکز استان خوزستان کدام شهر است؟,شهر اهواز,<ANSWER>اهواز</ANSWER>,1613790,108
کتیبه‌های سنگی دوران ساسانی درحال حاضر در کجا نگهداری می‌شوند؟ ,,<ANSWER>موزه ملی ایران</ANSWER>,1607915,105
نشان جمهوری اسلامی ایران به چه رنگی در میانه‌ی نوار سفید قرار دارد؟,رنگ سرخ,<ANSWER>قرمز</ANSWER>,1607859,105
مدرس از چه کسی سیلی خورد؟,برادر فرج‌الله بهرامی,<ANSWER>رضاشاه</ANSWER>,1637721,123
به چه علت بخش زیادی از کانادا خالی از سکنه است؟,به دلیل سرما و نزدیکی به قطب شمال,<ANSWER>به دلیل سرمای بسیار شدید</ANSWER>,1639072,124
در پی چه چیزی لینکلن اعلامیه معروف خود مبنی بر آزادی برده‌ها را اعلام کرد؟,پیروزی نظامی و معنوی دولت فدرال بر ایالت‌های تجزیه طلب جنوبی,<ANSWER>نبرد آنتی‌تام</ANSWER>,1635751,122
در چه تاریخی سازمان اروپایی پژوهش دربارهٔ ذرات - پروژه وب جهان گستر را به اطلاع عموم رساند؟,ششم اوت ۱۹۹۱,<ANSWER>۳۰ آوریل ۱۹۹۳</ANSWER>,1619167,111
کتاب‌خانه‌های کد پایه چیست؟,,کتابخانه‌هایی هستند که برای توسعه یک برنامه استفاده می‌شوند و قابلیت‌های پایه‌ای را ارائه می‌دهند.,1634403,121
بعد از مرگ هاردینگ چه کسی عهده‌دار پست ریاست جمهوری شد؟,جان کالوین کولیج,<ANSWER>کالوین کولیج</ANSWER>,1635870,122
وضعیت تئاتر در سده ی هجدهم اروپا به چه شکل بود؟,,<ANSWER>رو به افول بود</ANSWER>,1646970,129
احتراق مجاورت، ایجاد شده در طول جنگ جهانی دوم، متکی به چیست؟,رادار داپلر,<ANSWER>امواج رادیویی</ANSWER>,1640673,125
مهم ترین ایالت-شهرهای یونان باستان را نام ببرید.,آتیکا (آتن)، اسپارت، کورِنت، تِب، مگارو آرگوس,آتن و اسپارت,1647081,129
جین آئو- یونگ در چه سالی توانست هفت هفته متوالی جایزه فری استایل فرایدی را در بت ۱۰۶ و پارک که برنامه‌ای مختص هیپ هاپ بود، از آن خود کند؟,سال ۲۰۰۲,<ANSWER>سال ۲۰۰۲</ANSWER>,1617533,110
فرهنگ مینوسی در چه بازه ی تاریخی شکفته بود؟,از سال ۲۵۰۰ تا ۱۴۰۰ پیش از میلاد,<ANSWER>حدود ۲۰۰۰ تا ۱۶۰۰ سال پیش از میلاد</ANSWER>,1647023,129
سردار رومی چه چیز هایی را پس گرفت؟,سرزمین‌های از دست رفته,استان‌های از دست رفته و برخی مناطق دیگر را در سوریه و بین‌النهرین</ANSWER>,1641960,126
اروندرود در کجا قرار دارد؟,,<ANSWER>جنوب غربی ایران</ANSWER>,1614465,108
چند درصد از مردم خوزستان در سال 1395، در سکونتگاه‌های روستایی زندگی می‌کردند؟,۲۴/۵ درصد,<ANSWER>۳۷ درصد</ANSWER>,1614126,108
یک مثال متداول برای اثر داپلر بزنید.,شنیدن صدای ماشینی است که از دور با آژیر نزدیک می‌شود و عبور می‌کند و سپس دور می‌شود,<ANSWER>آژیر آمبولانس</ANSWER>,1640460,125
نقاشی رژهٔ ارتش بریتانیا در برابر ملکه ویکتوریا و ناصرالدین شاه قاجار متعلق به چه سالی است؟,۱۸۷۳ م (۱۲۹۰ ه‍.ق),<ANSWER>۱۸۷۳</ANSWER>,1608525,105
در دوره‌ی رئیس‌الوزرایی رضاخان، چه گروهی بیشترین نقش را در تبلیغات گسترده برای برپایی جمهوری داشت؟,ارتش,<ANSWER>گروه روزنامه‌نگاران جوان</ANSWER>,1637719,123
درچه سالی اردشیر با خاموش کردن شورش هایی از طرف دیگر برادرهایش که اعدام شدند،خود را حکمران پارس خواند؟,۲۰۸,<ANSWER>۲۲۴ میلادی</ANSWER>,1641845,126
هندوستان به استعمارچه کسانی درآمده بود؟,انگلیسی‌ها,<ANSWER>بریتانیا</ANSWER>,1602840,101
فشار کپسولی که باعث کشته شدن کشته شدن خدمه آپولو ۱ در آزمایش سکوی پرتاب شد باید چقدر ‌می‌بود؟,باید فشار آن حدود ۱⁄۳ فشار محیط باشد,<ANSWER>نامشخص</ANSWER>,1625379,114
اکسیژن قبل از سال ۱۶۰۴ توسط چه کسی جداسازی شد؟,مایکل سندی‌ووجیس,اکسیژن قبل از سال ۱۶۰۴ جداسازی نشد.,1624290,114
در اواخر دوره قاجار ایران به چند بخش تقسیم شده بود؟ ,نوزده بخش,<ANSWER>به دو بخش</ANSWER>,1610310,106
به چه دلیل کمیتهٔ المپیک کویت در ژانویه ۲۰۱۰ به حالت تعلیق درآمد؟,به دلیل دخالت‌های سیاسی دولت این کشور,<ANSWER>به دلیل دخالت دولت</ANSWER>,1648699,130
کلیسای کاتولیک رومی از بزرگ‌ترین کلیساهای کدام دین در جهان است؟,مسیحیت,<ANSWER>مسیحیت</ANSWER>,1630209,118
جمعیت تخمینی عرب‌های استان خوزستان بر‌پایه آمار ذکر شده در سال 1378 چند نفر بوده‌است؟,بین یک میلیون و هشتصد هزار تا دو میلیون نفر,<ANSWER>۱٫۲ میلیون نفر</ANSWER>,1614129,108
حجم دریای خزر چند کیلومتر مکعب است؟,۷۷۰۰۰۰,<ANSWER>۷۸۲۰۰ کیلومتر مکعب</ANSWER>,1629099,117
رضاشاه پس از رسیدن به پادشاهی و گزیدن نام خانوادگی پهلوی به چه اسمی شناخته شد؟,رضاشاه پهلوی,<ANSWER>رضاشاه پهلوی</ANSWER>,1637226,123
در کدام کشور کمیسر اطلاعات، پس از اطمینان از اینکه گوگل در دریافت اشتباه اطلاعات، اطلاعات «مهمی» را دریافت نکرده‌است گوگل را تبرئه کرد؟,بریتانیا,<ANSWER>انگلستان</ANSWER>,1612621,107
اصالت نوش‌آفرین آیرملو چیست؟,گرجی یا ایروانی,<ANSWER>ایرانی</ANSWER>,1637297,123
ملیون که بود؟,,<ANSWER>سیاستمدار و روزنامه‌نگار فرانسوی</ANSWER>,1637367,123
سامانه‌های خودگردان اینترنت با چه چیزی به هم متصل شده‌اند؟,روتر,<ANSWER>پروتکل BGP</ANSWER>,1618872,111
آشناترین ترکیب اکسیژن چیست؟,آب,<ANSWER>آب</ANSWER>,1624918,114
اولین آهنگ رپ فارسی با گرایشی عامه‌پسند توسط چه کسی تولید شد؟,حسن شماعی‌زاده,<ANSWER>سالومه</ANSWER>,1617590,110
کشور مکزیک در کدام قاره واقع شده‌است؟,,<ANSWER>آمریکای شمالی</ANSWER>,1606803,104
پایتخت کانادا کجا می باشد؟,اُتاوا,<ANSWER>اتاوا</ANSWER>,1639070,124
شنای تروجن در چه سالی ابداع شد؟,سال ۱۸۷۸,<ANSWER>سال ۲۰۰۵</ANSWER>,1645518,128
سیستم عامل آی‌اواس چند نسخه دارد؟,,<ANSWER>۱۷ نسخه</ANSWER>,1621114,112
امپراتور در ژاپن بر اساس کدام معیار انتخاب می‌شود؟,,<ANSWER>موروثی</ANSWER>,1623012,113
امیر کبیر در کجا به قتل رسید؟,,<ANSWER>کاشان</ANSWER>,1608472,105
بخش عمده در‌آمدهای اقتصادی ژاپن مربوط به چیست؟,صادرات,<ANSWER>صادرات</ANSWER>,1623120,113
درجه یاور معادل چیست؟,ستوان,<ANSWER>معاون</ANSWER>,1637289,123
شعار غیررسمی شرکت گوگل چه بود؟,شرور نباشید,<ANSWER>شریر نباش</ANSWER>,1611602,107
داستان موسیقی هیپ هاپ، عموماً درمورد چیست؟,اغلب مربوط به یک همتای خیالی,<ANSWER>زندگی در گتو</ANSWER>,1616958,110
نتیجه آزمایش‌های مایکل سندی‌ووجیس درمورد ماده موجود در هوا چه بود؟,تشخیص داد که این ماده معادل محصول جانبی گازی است که با تجزیه حرارتی پتاسیم نیترات آزاد می‌شود,<ANSWER>ماده حیات‌بخش در هوا</ANSWER>,1624406,114
در پایان دوره ریاست جمهوری لیندون بنیز جانسون چه چیزهایی باعث شد تا جمهوری‌خواهان مجدداً به حکومت دعوت شوند؟,ناکامی در جنگ ویتنام و رشد روحیه محافظه کاری در میان مردم,ناآرامی‌های اجتماعی و سیاسی و اختلافات بر سر جنگ ویتنام,1635930,122
اندرو جانسون بعد از قتل لینکلن چه چیزی را در دستور کار خویش قرار داد؟,بازسازی اقتصادی جنوب و مبارزه با آخرین بقایای برده داری,<ANSWER>بازسازی</ANSWER>,1635758,122
چند تیم اروپایی در نخستین دوره رقابت‌های جام جهانی فوتبال حاضر بودند؟,۴ تیم,<ANSWER>چهار</ANSWER>,1606577,104
 اولین زن نمایشگر ایرانی متعلق به کدام سلسله می باشد؟,ساسانیان,<ANSWER>قاجار</ANSWER>,1647367,129
اولین لشکرکشی شاپور دوم به کدام منطقه بود؟,روم در غرب,<ANSWER>عربستان</ANSWER>,1642357,126
اقتصاد ژاپن در کدام دهه پیشرفت کرد؟,دهه ۱۹۶۰م,<ANSWER>دهه ۱۹۸۰</ANSWER>,1622950,113
صدای و سیمای مرکز گیلان فعالیت خود را با چه دستگاهی آغاز کرد؟,فرستنده رادیویی ۷۵ واتی که آنتن آن در اداره پست و تلگراف گیلان نصب شده بود,<ANSWER>فرستنده رادیویی</ANSWER>,1610538,106
متن بیانیه سید ضیاء بعد از کودتا اسفند 1299 چیست؟,,<ANSWER>اعلامیه ای در ۹ ماده با عنوان «حکم می‌کنم»</ANSWER>,1637552,123
ژاپن در مقام مقایسه با کشور‌های دیگر در کدام مرتبه قرار می‌گیرد؟,در مقام مقایسه به‌طور تقریبی کشور ژاپن یک بیستم آمریکا، یک نهم هندوستان، یک و نیم برابر بریتانیا و چیزی کمتر از یک چهارم ایران است.,<ANSWER>سومین اقتصاد بزرگ جهان</ANSWER>,1622451,113
اکسیژن سطح دریا از کجا خارج و به سمت کجا افزایش می‌یابد؟,در اطراف استوا خارج شده و به سمت قطب‌ها افزایش می‌یابد,<ANSWER>از گیاهان و جلبک‌ها به اتمسفر</ANSWER>,1624742,114
نامزد جمهوری‌‌خواهان در نخستین انتخابات ریاست جمهوری پس از تأسیس این حزب، که بود؟,جان فریمونت,<ANSWER>جان سی فرامون</ANSWER>,1635694,122
چرا امروزه مردم‌شناسان، جوامع ابتدایی را فرو دستانه برآورد نمی کنند؟,آن‌ها دریافته‌اند که اگرچه جوامع پیشرفته از دانش تخصصی و فنون بهره‌مندی بیشتری دارند، اما در مقابل، غالباً از نظر همبستگی و یکپارچگی ویژه‌ای که در جوامع کمتر پیشرفته وجود دارد، دچار کمبود قابل توجهی هستند,<ANSWER>درک پیچیدگی فرهنگ‌ها</ANSWER>,1646910,129
کریستیان یوهان دوپلر کیست؟,فیزیکدان اتریشی,<ANSWER>ریاضی‌دان و فیزیکدان اتریشی</ANSWER>,1640405,125
هیئت مدیره بین‌المللی واترپلو و کمیته بین‌المللی شنا در چه سالی پا گرفتند؟,سال ۱۹۲۸,<ANSWER>۱۹۰۸</ANSWER>,1645631,128
قبل از عرضه اولیه، چه سهمی از گوگل در اختیار یاهو بود؟,۸٫۴ میلیون,<ANSWER>تقریباً ۲.۷ درصد</ANSWER>,1611830,107
چند نفر از مجلس نمایندگان ژاپن را زنان تشکیل داده‌اند؟,,<ANSWER>۴۶ نفر</ANSWER>,1623011,113
ون گوگ توسط چه کسی به قتل رسید؟,یک مراکشی,<ANSWER>مشخص نیست</ANSWER>,1631571,119
برنامه ی مسابقات شنای مردان در المپیک تا سال 1952 شامل چه رقابت هایی می شد؟,رقابت‌های کرال سینه، کرال پشت و قورباغه,۱۰۰ متر آزاد، ۴۰۰ متر آزاد، ۱۵۰۰ متر آزاد، ۱۰۰ متر کرال پشت و ۲۰۰ متر قورباغه</ANSWER>,1645574,128
لئونارد کلینراک تئوری‌ مسیریابی سلسله مراتبی را در چه سالی ارائه کرد؟,سال ۱۹۶۷,<ANSWER>۱۹۷۲</ANSWER>,1619112,111
چرا در بین مرزها بازرگانی و ازدواج و حتی جاسوسی را ممکن می‌ساخت؟,رفت‌وآمد بین مرزها آزاد بود,<ANSWER>نفوذپذیری مرزها</ANSWER>,1642073,126
مهندس گوگل امیت پاتل، شعار غیر رسمی شرکت گوگل را در چه سالی ثبت کرد؟,,سال ۲۰۰۹</ANSWER>,1611605,107
ساختمان اصلی گوگل به چه نامی شناخته می‌شود؟,گوگل‌پلکس,<ANSWER>گوگل‌پلکس</ANSWER>,1612164,107
اولین خواننده هیپ هاپ در فرانسه چه کسی بود؟,,<ANSWER>کایل سی. جی</ANSWER>,1617653,110
ژاپن از چند جزیره تشکیل شده‌است؟,بیش از ۶۸۰۰ جزیره,<ANSWER>۶۸۵۲ جزیره</ANSWER>,1622386,113
نام 3 خواهر ناتنی رضاه چیست؟,,<ANSWER>فاطمه، حمیده و بهجت</ANSWER>,1637301,123
در لغت‌نامه دهخدا واژه گیلان به چه معناست؟,محل سکونت گیل‌ها,<ANSWER>به معنای سرزمین قوم گیل</ANSWER>,1609793,106
 دلیل کافی برای کشف اکسیژن توسط سندی‌ووجیس از دیدگاه بوگاج چیست؟,جداسازی اکسیژن و ارتباط مناسب ماده با آن قسمت از هوا که برای زندگی لازم است,<ANSWER>نظریه فلوژیستون</ANSWER>,1624407,114
جان دالتون درمورد جرم اتمی اکسیژن به چه نتیجه‌ای رسیده‌‌بود؟,به این نتیجه رسید که جرم اتمی اکسیژن ۸ برابر بیشتر از هیدروژن است,<ANSWER>۷</ANSWER>,1624572,114
میان‌رودان تحت سلطه کدام کشور بود؟,ایران,<ANSWER>امپراتوری عثمانی</ANSWER>,1642074,126
قدمت شنا کردن به حدود چند سال قبل از میلاد بر می گردد؟,,<ANSWER>۷۰۰۰ سال</ANSWER>,1645407,128
هنرهای هفتگانه را نام ببرید.,,<ANSWER>نقاشی، مجسمه‌سازی، موسیقی، معماری، ادبیات، تئاتر و سینما</ANSWER>,1647368,129
یکی از پرفروش‌ترین آلبوم‌های سال ۲۰۰۵ برای چه گروهی بوده؟,گروه رپ سندیکای بلگراد,<ANSWER>کولدپلی</ANSWER>,1617816,110
در طی لشگرکشی چه کسی به مسیحیانی که در لشکرش بودند مشکوک شد و آن‌ها را از حکومت و ارتش اخراج کرد؟,یزدگرد دوم,یعقوب المنصور,1642689,126
اولین وب سایتی که در شبکه قرار گرفت درمورد چه بود؟,,<ANSWER>پروژهٔ جهانی وب</ANSWER>,1618996,111
پرچم امویان بر طبق گفتهٔ طبری به چه رنگی بوده‌است؟,سفید,<ANSWER>سیاه</ANSWER>,1607966,105
جاذبه‌های تاریخی تفرش را نام ببرید؟,,<ANSWER>آرامگاه پرفسور حسابی، چاه‌مير، امام‌زاده قاسم، امام‌زاده محمد، امام‌زاده ابوالعلی، امام‌زاده احمد، امام‌زاده یوسف، امام‌زاده سید حسین، غار علی‌خورنده</ANSWER>,1626436,115
چرا بسیاری از وزارتخانه‌ها و سفارتخانه‌ها هلند خارج از پایتخت آن مستقر شده‌اند؟,تمرکززدایی,<ANSWER>به دلیل مسائل تاریخی</ANSWER>,1631393,119
در چه بازه ی زمانی فدراسیون‌های ملی شنا در چندی از کشورهای اروپایی شکل گرفتند؟,در سال ۱۸۸۲ تا ۱۸۸۹,<ANSWER>دهه ۱۸۸۰ و ۱۸۹۰</ANSWER>,1645466,128
برای مردم عراق عجم، منطقه‌ خزر همسایه چگونه است؟,جهانی درهم برهم و واژگون هویت خودشان است,<ANSWER>خطرناک</ANSWER>,1610485,106
پزشکی پرفشار چیست؟,یک درمان پزشکی است,درمانی است که در آن تمام بدن در معرض ۱۰۰٪ اکسیژن تحت فشار بیش از فشار جو قرار می‌گیرد.,1625203,114
در بعضی از گویش‌های رایج در استان خوزستان «بختیاری» برای ادای حرف «خ» از چه حرفی بهره می‌گیرد؟,«ح»,<ANSWER>ک</ANSWER>,1614071,108
درفش کاویانی چه زمانی ازبین رفت؟,پس از سرنگونی ساسانیان,<ANSWER>۶۵۱ میلادی</ANSWER>,1641789,126
مجتمع کاغذسازی هفت‌تپه به تولید چه چیزی می‌پردازد؟,استفاده از ضایعات نیشکر به تولید کاغذ می‌پردازد,<ANSWER>کاغذ</ANSWER>,1614463,108
آخرین فرمانروای زند کیست؟,لطفعلی خان,<ANSWER>لطف علی خان زند</ANSWER>,1602673,101
بلشویک‌ها که بودند؟,,<ANSWER>فراکسیون بزرگ‌تر حزب سوسیال دموکرات کارگری روسیه</ANSWER>,1637428,123
سه عنصر فراوان در کیهان را نام‌ ببرید؟,هیدروژن و هلیوم، اکسیژن,هیدروژن، هلیوم و اکسیژن</ANSWER>,1624234,114
خطوط زمینی پهن باند از چه طریقی است؟,از طریق کابل کواکسیال، فیبر نوری یا سیم مسی,<ANSWER>فناوری DSL</ANSWER>,1619771,111
پا زدن در شنای پروانه شبیه به پا زدن در کدام حرکت شنا است؟,کرال سینه,<ANSWER>دلفین کیک</ANSWER>,1627714,116
مرادعلی خان در کدام سال خورشیدی در جنگ کشته شد؟,۱۲۳۵,<ANSWER>۱۱۷۱</ANSWER>,1637293,123
دفتر مرکزی شرکت یاهو در کجا قرار دارد؟,,<ANSWER>سانی‌ویل، کالیفرنیا</ANSWER>,1611831,107
معاون لینکلن چه کسی بود؟,اندرو جانسون,<ANSWER>اندرو جانسون</ANSWER>,1635757,122
زبان رسمی کشور کانادا چیست؟,,<ANSWER>زبان انگلیسی و فرانسوی</ANSWER>,1639073,124
 امروزه پذیرفته ‌ترین نظریه درباره ی خاستگاه تئاتر چیست؟,منشأ آئینی امروز پذیرفته‌ترین نظریه دربارهٔ خاستگاه تئاتر است,<ANSWER>نظریهٔ مناسک مذهبی</ANSWER>,1646911,129
چرا تجارت قند و چای در انحصار ایران بود؟,,<ANSWER> [N/A] </ANSWER>,1637843,123
شنای پروانه نیاز به چه چیزی دارد تا صورت بگیرد؟,تکنیک مناسب,<ANSWER>توانایی بدنی</ANSWER>,1627661,116
در سال 1950 گیلان به چند شهرستان تقسیم شده بود؟,پنج شهرستان,<ANSWER>4</ANSWER>,1610312,106
ابن فقیه همدانی در کتاب «اخبار البلدان» آورده‌است که :آبادی طبرس در سده اول هجری از تعلقات کجا بوده؟,همدان,<ANSWER>دیلم</ANSWER>,1626551,115
تئاتر در کدام دسته از هنرها جای می گیرد؟,تئاتر یکی از شاخه های  هنرهای نمایشی است,<ANSWER>هنرهای نمایشی</ANSWER>,1646746,129
خواننده رپ با چه چیزی همراهی می‌شود؟,«بیت»,موسیقی همراه با ضرب‌آهنگ (بیت) و موسیقی متن (بک‌گراند),1616960,110
به کدام قسمت اروپا، اروپای جوان گفته می‌شود؟,,<ANSWER>جنوب شرقی اروپا (بالکان)</ANSWER>,1605287,103
کتاب محبوب باغ گیاه‌شناسی اثر کیست؟,اراسموس داروین,<ANSWER>آماندا کوئیک</ANSWER>,1624519,114
منظور از میانه‌روها چیست؟,,<ANSWER>مخالف افراط‌گرایی</ANSWER>,1635523,122
در انتخابات ریاست جمهوری سال ۱۹۲۰ آمریکا وارن گامالیل هاردینگ چه کسی را شکست داد؟,جیمز کاکس دموکرات,جیمز میدلتون کاکس</ANSWER>,1635816,122
پاسارگاد در فارسنامه ابن بلخی به چه نامی ذکر شده‌است؟,کمه,طخره گاه,1615633,109
تراژدی کمدی های دوره ی نئو کلاسیک را بیشتر با چه عنوانی نام می برند؟,بیشتر با عنوان «عشق در برابر شرف» یا «شنل و شمشیر» یا «عشق و وظیفه» نام می‌برند,<ANSWER>درام بورژوایی</ANSWER>,1647479,129
اولین بار در چه تاریخی مسابقه ی شنا در مسافت ۴۴۰ یارد در استرالیا برپا شد؟,سال ۱۸۴۶,<ANSWER>۱۵ دسامبر ۱۸۵۸</ANSWER>,1645463,128
چند بازی چند نفره نام ببرید؟,,<ANSWER>فورتنایت، ماینکرافت، کال آو دیوتی</ANSWER>,1619939,111
چند مورد از سوغاتی‌های استان گیلان را نام ببرید؟,محصولات کشاورزی و دامی، پرندگان، ماهی‌ها، ترشیجات و مربا، صنایع دستی ابریشمی، چوبی و حصیری از جمله سوغاتی‌های گیلان هستند,کلوچه، رشته خوشکار، زیتون پرورده، چای، ابریشم‌بافی و حصیربافی,1610198,106
مرز بین دو گویش عمده خاوری و باختری کجاست؟,سفیدرود,<ANSWER>جنوب شرق فارس</ANSWER>,1609967,106
معنای لغوی تئاتر چیست؟,,<ANSWER>محل تماشا</ANSWER>,1647480,129
اینترنت در چه سال‌هایی دوره‌های کوتاهی از رشد انفجاری داشته‌است؟,سال‌های ۱۹۹۶و۱۹۹۷,۱۹۹۶ و ۱۹۹۹,1619226,111
تصاویر و اسناد و سایر پرونده‌ها می‌تواند چگونه ارسال شود؟,به صورت پیوست نامه الکترونیک,<ANSWER>از طریق ایمیل، برنامه‌های پیام‌رسان، یا پلتفرم‌های ابری</ANSWER>,1619606,111
مساحت اصلی ژاپن را کدام جزایر تشکیل داده‌است؟,۹۸٪ مساحت ژاپن از چهار جزیره به نام‌های هوکایدو، هونشو، شیکوکو و کیوشو تشکیل شده‌است.,<ANSWER>هوکایدو، هونشو، شیکوکو، و کیوشو</ANSWER>,1622388,113
 به نمایشی که به شکل جدی و مصیبت بار آغاز می‌شود اما شادمانه و با پایان خوش به اتمام می‌رسد؛ چه می گویند؟,تراژدی‌کمدی,<ANSWER>کمدی-تراژیک</ANSWER>,1647478,129
این بیم وجود داشت که با خروج نیروهای بریتانیایی، تهران هدف حمله‌ی چه کسانی واقع شود؟,بلشویک‌ها و نیروهای تحت حمایت آن‌ها,<ANSWER>قشون سرخ</ANSWER>,1637484,123
ماهواره‌ها نیروی خود را از چه طریقی می‌گیرند؟,سلول‌های خورشیدی,<ANSWER>پنل‌های خورشیدی</ANSWER>,1632916,120
قاره اروپا بعد از کدام قاره، دومین قاره کوچک جهان است؟,قاره اقیانوسیه,<ANSWER>استرالیا</ANSWER>,1605116,103
موسیقی هیپ هاپ در چه زمانی در کره جنوبی محبوبیت یافت؟,در اواسط دهه نود قرن بیستم,<ANSWER>دهه ۱۹۹۰</ANSWER>,1617361,110
پیروزی رونالد ریگان در ابتدای دهه ۱۹۸۰، پیروزی کدام جناح حزب جمهوری‌خواه بود؟,جناح راست,محافظه‌کاران جناح راستِ حزب جمهوری‌خواه,1635989,122
گوگل داکیومنت چیست؟,,<ANSWER>نرم‌افزار واژه پرداز</ANSWER>,1612730,107
کدام دریا بزرگ‌ترین دریاچه جهان است؟,دریای خزر,<ANSWER>دریای خزر</ANSWER>,1628878,117
در چه سالی مسابقات جام جهانی برای اولین بار از طریق تلویزیون پخش شدند؟,۱۹۵۴,<ANSWER>سال ۱۹۵۴</ANSWER>,1606689,104
ژاپنی‌ها چگونه در ساخت کاغذ از گیاهان استفاده می‌کنند؟,,<ANSWER>با استفاده از الیاف گیاهانی مانند کوزو، میتسوماتا و گامپی</ANSWER>,1622508,113
چه کسانی نشان دادند که نسبت حجمی هیدروژن نسبت به اکسیژن در آب ۲ به ۱ است؟,ژوزف لویی گیلوساک و الکساندر فون هومبولت,<ANSWER>گای-لوساک و هومبولت</ANSWER>,1624574,114
مخالفان رضاشاه او را مسئول برباد رفتن چه چیزی در ایران می‌دانند؟,مشروطیت,<ANSWER>سنت و دین</ANSWER>,1637164,123
سلطان درجهٔ نظامی برابر با چیست؟,سرهنگ,<ANSWER>امیر</ANSWER>,1637291,123
